Country,Economic status1,Coastal population2,Waste generation rate [kg/person/day]3,% Plastic in waste stream4,% Inadequately managed waste5,% Littered waste6,Waste generation [kg/day]7,Plastic waste generation [kg/day]7,Inadequately managed plastic waste [kg/day]7,"Plastic waste littered
 [kg/day]7",Mismanaged plastic waste [kg/person/day]7,"Mismanaged plastic waste in 2010
 [tonnes]7","Mismanaged plastic waste in 2025
 [tonnes]7"
Albania,LMI,"25,30,533",0.77,9,45,2,"19,48,510","1,74,392","77,897","3,488",0.032,"29,705"," 63,051 "
Algeria8,UMI,"1,65,56,580",1.2,12,58,2,"1,98,67,896","23,74,214","13,78,693","47,484",0.086,"5,20,555"," 10,17,444 "
Angola,LMI,"37,90,041",0.48,13,71,2,"18,19,220","2,35,589","1,66,597","4,712",0.045,"62,528"," 1,36,770 "
Anguilla,HIC,"14,561",2.1,12,2,2,"30,578","3,654",68,73,0.010,52, 73 
Antigua & Barbuda,HIC,"66,843",5.5,12,6,2,"3,67,637","43,933","2,555",879,0.051,"1,253"," 1,385 "
Argentina,UMI,"1,64,49,245",1.22,15,12,2,"2,00,68,079","30,00,178","3,72,261","60,004",0.026,"1,57,777"," 3,20,197 "
Aruba,HIC,"1,37,910",2.1,12,1,2,"2,89,611","34,609",326,692,0.007,372, 476 
Australia,HIC,"1,72,35,954",2.23,5,0,2,"3,84,36,177","19,02,591",0,"38,052",0.002,"13,889"," 24,653 "
Bahamas,HIC,"3,41,145",3.25,12,1,2,"11,08,721","1,32,492","1,002","2,650",0.011,"1,333"," 1,718 "
Bahrain,HIC,"7,43,574",1.1,12,10,2,"8,17,931","97,743","10,033","1,955",0.016,"4,376"," 9,915 "
Bangladesh,LI,"7,08,74,124",0.43,8,87,2,"3,04,75,873","24,22,832","21,08,603","48,457",0.030,"7,87,327"," 22,10,230 "
Barbados,HIC,"2,76,784",4.75,12,4,2,"13,14,724","1,57,110","6,400","3,142",0.034,"3,483"," 3,719 "
Belgium,HIC,"47,47,957",1.33,6,0,2,"63,14,783","3,75,730",0,"7,515",0.002,"2,743"," 5,739 "
Belize,UMI,"2,02,429",2.87,6,29,2,"5,80,971","34,568","9,972",691,0.053,"3,892"," 6,042 "
Benin,LI,"32,35,418",0.54,8,83,2,"17,47,126","1,38,896","1,15,073","2,778",0.036,"43,015"," 1,19,467 "
Bermuda,HIC,"66,966",2.1,12,0,2,"1,40,629","16,805",0,336,0.005,123, 173 
Bosnia and Herzegovina,UMI,"5,85,582",1.2,12,40,2,"7,02,698","83,972","33,813","1,679",0.061,"12,955"," 20,201 "
Brazil,UMI,"7,46,96,771",1.03,16,9,2,"7,69,37,674","1,22,71,559","10,46,087","2,45,431",0.017,"4,71,404"," 9,54,198 "
British Virgin Islands,HIC,"29,674",2.1,12,0,2,"62,315","7,447",3,149,0.005,55, 78 
Brunei,HIC,"3,59,871",0.87,3,1,2,"3,13,088","9,236",71,185,0.001,93, 341 
Bulgaria,UMI,"10,02,695",1.28,12,31,2,"12,83,450","1,53,372","48,273","3,067",0.051,"18,739"," 25,770 "
Burma/Myanmar,LI,"1,89,88,522",0.44,17,87,2,"83,54,950","14,16,164","12,27,208","28,323",0.066,"4,58,269"," 11,49,267 "
Cambodia,LI,"13,91,254",0.6,11,87,2,"8,34,752","91,405","79,502","1,828",0.058,"29,686"," 62,834 "
Cameroon,LMI,"19,86,723",0.77,6,81,2,"15,29,777","91,022","74,107","1,820",0.038,"27,713"," 71,863 "
Canada,HIC,"1,18,46,863",2.33,4,0,2,"2,76,03,191","10,90,326",0,"21,807",0.002,"7,959"," 14,668 "
Cape Verde,LMI,"5,22,245",0.5,13,74,2,"2,61,123","33,815","24,933",676,0.049,"9,347"," 18,475 "
Cayman Islands,HIC,"51,864",2.1,12,0,2,"1,08,914","13,015",0,260,0.005,95, 134 
Channel Islands,HIC,"1,53,352",2.1,12,0,2,"3,22,039","38,484",0,770,0.005,281, 355 
Chile,UMI,"56,21,550",1.08,11,7,2,"60,71,274","6,64,805","46,304","13,296",0.011,"21,754"," 42,562 "
China,UMI,"26,28,92,387",1.1,11,74,2,"28,91,81,626","3,16,65,388","2,35,30,300","6,33,308",0.092,"88,19,717"," 1,78,14,777 "
Christmas Island,HIC,"1,402",2.1,12,0,2,"2,944",352,0,7,0.005,3, 4 
Cocos Islands,HIC,596,2.1,12,0,2,"1,252",150,0,3,0.005,1, 2 
Colombia8,UMI,"74,98,563",1.2,12,21,2,"89,98,276","10,75,294","2,31,024","21,506",0.034,"92,173"," 1,79,973 "
Comoros,LI,"9,38,595",2.23,9,83,2,"20,93,067","1,87,329","1,55,246","3,747",0.169,"58,032"," 1,00,870 "
Congo Rep of,LMI,"8,47,807",0.53,13,77,2,"4,49,338","58,189","44,769","1,164",0.054,"16,766"," 39,853 "
"Congo, Dem rep. of",LI,"10,76,056",0.5,9,85,2,"5,38,028","48,154","40,703",963,0.039,"15,208"," 43,480 "
Cook Islands,UMI,"20,934",1.2,12,36,2,"25,121","3,002","1,079",60,0.054,416, 784 
Costa Rica,UMI,"24,79,298",1.36,19,16,2,"33,71,845","6,38,965","1,02,536","12,779",0.047,"42,090"," 75,895 "
Cote d'Ivoire8,LMI,"62,30,583",0.79,13,82,2,"49,22,161","6,37,420","5,20,288","12,748",0.086,"1,94,558"," 5,37,163 "
Croatia8,HIC,"16,02,782",2.1,12,9,2,"33,65,842","4,02,218","37,053","8,044",0.028,"16,461"," 19,593 "
Cuba,UMI,"1,13,33,471",0.81,11,23,2,"91,80,112","10,05,222","2,28,196","20,104",0.022,"90,630"," 1,80,454 "
Curacao,HIC,"1,43,784",2.1,12,0,2,"3,01,946","36,083",12,722,0.005,268, 378 
Cyprus,HIC,"8,40,556",2.07,12,0,2,"17,39,951","2,07,924",831,"4,158",0.006,"1,821"," 2,611 "
Denmark,HIC,"53,76,386",2.34,2,0,2,"1,25,80,743","2,45,324",0,"4,906",0.001,"1,791"," 4,233 "
Dhekelia,HIC,"15,700",2.1,12,0,2,"32,970","3,940",2,79,0.005,30, 42 
Djibouti,LMI,"6,21,744",0.79,13,73,2,"4,91,178","63,608","46,191","1,272",0.076,"17,324"," 45,612 "
Dominica,UMI,"70,138",1.24,12,19,2,"86,971","10,393","1,938",208,0.031,783," 1,428 "
Dominican Republic8,UMI,"82,32,586",1.2,12,25,2,"98,79,103","11,80,553","3,00,295","23,611",0.039,"1,18,226"," 2,28,671 "
East Timor,LMI,"6,68,749",0.79,13,81,2,"5,28,312","68,416","55,316","1,368",0.085,"20,690"," 64,205 "
Ecuador,LMI,"64,00,048",1.13,13,30,2,"72,32,054","9,36,551","2,80,948","18,731",0.047,"1,09,383"," 2,11,021 "
Egypt,LMI,"2,17,50,943",1.37,13,67,2,"2,97,98,792","38,58,944","25,72,170","77,179",0.122,"9,67,012"," 19,37,428 "
El Salvador,LMI,"64,10,726",1.13,13,33,2,"72,44,120","9,38,114","3,06,531","18,762",0.051,"1,18,732"," 2,26,860 "
Equatorial Guinea,UMI,"3,51,600",1.2,12,30,2,"4,21,920","50,419","15,367","1,008",0.047,"5,977"," 14,124 "
Eritrea,LI,"12,66,222",0.5,9,77,2,"6,33,111","56,663","43,411","1,133",0.035,"16,259"," 43,484 "
Estonia,HIC,"8,78,021",1.47,12,9,2,"12,90,691","1,54,238","13,296","3,085",0.019,"5,979"," 8,367 "
Falkland Islands,HIC,"2,602",2.1,12,0,2,"5,464",653,0,13,0.005,5, 7 
Faroe Islands,HIC,"50,554",2.1,12,0,2,"1,06,163","12,687",0,254,0.005,93, 131 
Fiji,UMI,"8,96,145",2.1,9,78,2,"18,81,905","1,68,430","1,31,582","3,369",0.151,"49,257"," 70,995 "
Finland,HIC,"29,27,674",2.13,11,0,2,"62,35,946","6,82,836",0,"13,657",0.005,"4,985"," 6,422 "
France,HIC,"1,72,87,280",1.92,10,0,2,"3,31,91,578","33,02,562",0,"66,051",0.004,"24,109"," 34,671 "
French Guiana,UMI,"1,67,631",1.2,12,25,2,"2,01,157","24,038","5,986",481,0.039,"2,360"," 5,577 "
French Polynesia,HIC,"2,70,618",2.1,12,3,2,"5,68,298","67,912","2,165","1,358",0.013,"1,286"," 1,824 "
Gabon,UMI,"8,62,328",0.45,12,34,2,"3,88,048","46,372","15,750",927,0.019,"6,087"," 15,446 "
Georgia,LMI,"11,24,249",1.69,4,51,2,"18,99,981","75,049","38,149","1,501",0.035,"14,472"," 24,532 "
Germany,HIC,"88,37,035",2.11,23,0,2,"1,86,46,144","42,79,290",0,"85,586",0.010,"31,239"," 33,317 "
Ghana8,LMI,"77,27,702",0.79,5,81,2,"61,04,885","3,02,192","2,44,835","6,044",0.032,"91,571"," 3,25,116 "
Gibraltar,HIC,"33,483",2.1,12,0,2,"70,314","8,403",9,168,0.005,65, 92 
Greece,HIC,"97,94,702",2,10,0,2,"1,95,89,404","19,49,146",0,"38,983",0.004,"14,229"," 18,621 "
Greenland,HIC,"57,068",2.1,12,0,2,"1,19,843","14,321",0,286,0.005,105, 148 
Grenada,UMI,"96,121",2.71,12,18,2,"2,60,488","31,128","5,536",623,0.064,"2,248"," 2,452 "
Guadeloupe,UMI,"4,66,166",1.2,12,25,2,"5,59,399","66,848","16,646","1,337",0.039,"6,564"," 11,502 "
Guam,HIC,"1,90,809",2.1,12,0,2,"4,00,699","47,884",118,958,0.006,393, 574 
Guatemala,LMI,"23,92,442",2,14,36,2,"47,84,884","6,67,491","2,37,508","13,350",0.105,"91,563"," 1,57,698 "
Guernsey,HIC,"56,289",2.1,12,0,2,"1,18,207","14,126",0,283,0.005,103, 146 
Guinea,LI,"19,96,496",0.6,5,84,2,"11,97,898","59,296","49,538","1,186",0.025,"18,514"," 59,889 "
Guinea-Bissau,LI,"12,08,106",0.6,9,83,2,"7,24,864","64,875","54,156","1,298",0.046,"20,240"," 51,947 "
Guyana,LMI,"5,13,235",5.33,11,36,2,"27,35,543","2,99,542","1,09,084","5,991",0.224,"42,002"," 36,103 "
Haiti,LI,"91,55,693",1,9,47,2,"91,55,693","8,19,435","3,87,416","16,389",0.044,"1,47,389"," 3,24,178 "
Honduras,LMI,"33,24,144",1.45,13,40,2,"48,20,009","6,24,191","2,49,539","12,484",0.079,"95,638"," 1,89,169 "
Hong Kong,HIC,"75,73,074",1.99,20,1,2,"1,50,70,417","30,06,548","17,983","60,131",0.010,"28,512"," 37,606 "
Iceland,HIC,"2,92,708",1.56,18,0,2,"4,56,624","81,964",0,"1,639",0.006,598, 883 
India,LMI,"18,74,93,433",0.34,3,85,2,"6,37,47,767","18,80,559","16,05,729","37,611",0.009,"5,99,819"," 28,81,294 "
Indonesia,LMI,"18,72,23,476",0.52,11,81,2,"9,73,56,208","1,06,60,505","86,00,093","2,13,210",0.047,"32,16,856"," 74,15,202 "
Iran8,UMI,"90,99,695",1.2,12,50,2,"1,09,19,634","13,04,896","6,51,717","26,098",0.074,"2,47,403"," 4,60,067 "
Iraq,LMI,"6,39,228",0.79,13,63,2,"5,04,990","65,396","41,330","1,308",0.067,"15,563"," 47,694 "
Ireland,HIC,"37,49,576",3.58,12,0,2,"1,34,23,482","16,04,106",0,"32,082",0.009,"11,710"," 14,045 "
Isle of Man,HIC,"81,222",2.1,12,0,2,"1,70,566","20,383",0,408,0.005,149, 210 
Israel,HIC,"66,77,810",2.12,14,1,2,"1,41,56,957","19,74,896","12,577","39,498",0.008,"19,007"," 28,211 "
Italy,HIC,"3,38,22,532",2.23,6,0,2,"7,54,24,246","44,87,743",0,"89,755",0.003,"32,761"," 45,058 "
Jamaica,UMI,"28,20,558",0.18,19,27,2,"5,07,700","96,209","25,525","1,924",0.010,"10,019"," 59,575 "
Japan,HIC,"11,52,28,891",1.71,10,0,2,"19,70,41,404","1,96,05,620",0,"3,92,112",0.003,"1,43,121"," 1,77,241 "
Jersey,HIC,"90,076",2.1,12,0,2,"1,89,160","22,605",0,452,0.005,165, 233 
Jordan8,UMI,"55,392",1.2,12,58,2,"66,470","7,943","4,600",159,0.086,"1,737"," 2,975 "
Kenya,LI,"27,29,945",0.3,9,83,2,"8,18,984","73,299","60,610","1,466",0.023,"22,658"," 87,109 "
Kiribati,LMI,"94,487",0.79,13,84,2,"74,645","9,666","8,148",193,0.088,"3,045"," 6,977 "
"Korea, North",LI,"1,73,27,483",0.6,9,88,2,"1,03,96,490","9,30,486","8,15,165","18,610",0.048,"3,04,328"," 6,10,607 "
"Korea, South (Republic of Korea)",HIC,"4,16,54,619",1.24,9,0,2,"5,16,51,728","46,22,830",0,"92,457",0.001,"33,747"," 52,764 "
Kuwait,HIC,"22,93,604",5.72,12,0,2,"1,31,19,415","15,67,770",122,"31,355",0.014,"11,489"," 13,479 "
Latvia,UMI,"14,32,078",1.03,12,14,2,"14,75,040","1,76,267","24,651","3,525",0.020,"10,284"," 16,654 "
Lebanon,UMI,"38,90,871",1.18,8,34,2,"45,91,228","3,65,003","1,23,700","7,300",0.034,"47,815"," 1,01,852 "
Liberia,LI,"21,48,271",0.6,14,84,2,"12,88,963","1,79,810","1,51,822","3,596",0.072,"56,728"," 1,42,787 "
Libya,UMI,"40,50,128",1.2,12,23,2,"48,60,154","5,80,788","1,32,985","11,616",0.036,"52,779"," 1,02,577 "
Lithuania,UMI,"4,43,894",1.1,12,14,2,"4,88,283","58,350","8,364","1,167",0.021,"3,479"," 5,478 "
Macao,HIC,"2,57,911",1.47,25,0,2,"3,79,129","94,593",22,"1,892",0.007,698," 1,146 "
Madagascar,LI,"70,62,413",0.8,2,84,2,"56,49,930","1,10,174","92,377","2,203",0.013,"34,522"," 1,77,625 "
Malaysia,UMI,"2,28,90,252",1.52,13,55,2,"3,47,93,183","45,05,717","24,76,510","90,114",0.112,"9,36,818"," 17,65,977 "
Maldives,LMI,"3,92,567",2.48,13,66,2,"9,73,566","1,26,077","83,695","2,522",0.220,"31,469"," 40,143 "
